,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
8146733096,5,5,0,1,1,1,0,5,1,3,0,2,0,1,0,3,1,2,0,0
8148039072,3,4,2,2,6,1,0,3,0,2,0,0,0,0,2,0,0,0,0,0
8151196417,13,9,2,2,2,2,0,6,0,1,0,1,0,1,0,5,0,3,0,0
8151840560,8,7,3,1,6,3,0,2,1,2,0,1,0,0,0,1,0,1,0,0
8154318223,0,0,0,0,3,0,1,2,0,1,0,14,0,6,0,1,0,6,0,0
8158014894,2,5,2,0,3,0,0,0,1,0,0,5,0,4,0,1,0,3,0,0
8158815970,3,3,0,0,6,1,0,1,0,0,0,10,0,6,0,0,0,4,0,0
8159272331,4,4,2,4,6,3,0,12,1,0,1,0,1,1,0,1,0,0,1,0
8160151269,5,3,1,1,3,1,0,3,0,1,0,6,1,5,0,2,0,8,0,0
8162535476,5,4,1,1,5,2,0,4,0,0,0,1,0,1,0,1,0,2,1,0
8195660535,10,10,4,5,13,6,0,18,2,5,3,12,3,6,2,2,1,8,0,0
8202447088,3,5,1,0,5,0,0,1,3,2,0,4,0,3,0,3,0,2,0,0
8207275977,8,6,0,1,4,2,0,2,0,1,1,7,0,4,0,3,0,4,0,0
8211483029,2,2,0,7,8,3,0,20,0,0,1,5,1,4,1,0,0,1,2,0
8223441479,4,3,1,1,10,1,0,4,0,2,0,4,0,1,1,1,1,2,1,0
8226179817,5,4,2,0,3,0,0,2,0,0,0,6,0,4,0,3,0,5,0,0
8236167857,8,5,2,0,7,4,0,8,0,2,1,1,1,0,0,2,0,3,0,0
8244024173,13,8,1,5,13,2,0,16,0,2,3,5,0,3,2,4,0,3,2,0
8246285573,8,8,2,1,7,2,0,4,1,3,0,1,1,1,0,1,0,1,0,0
8249648934,2,1,0,1,4,1,0,6,0,1,1,4,0,3,0,0,0,3,0,0
8257188290,12,10,1,2,9,2,0,8,0,4,0,5,1,2,1,4,0,3,0,0
8290630380,0,5,4,1,7,0,0,5,1,0,0,1,1,1,0,0,0,1,0,0
8291068926,6,5,1,1,4,0,0,3,0,2,1,2,0,2,1,0,0,1,0,0
8292932656,9,7,0,1,8,2,0,3,0,3,0,5,1,5,1,2,0,3,0,0
8296596462,10,6,3,4,7,5,0,13,0,2,0,6,1,3,1,4,0,5,2,0
8305123364,1,2,0,0,1,0,0,1,1,2,0,11,0,7,0,1,0,6,0,0
8313805617,8,11,4,0,10,1,0,1,1,2,0,0,0,0,2,2,0,0,0,0
8323581045,2,1,1,2,3,1,0,5,0,2,0,4,3,2,0,0,0,2,0,0
8339015782,7,10,2,0,4,0,0,1,2,2,0,1,0,0,0,2,0,1,0,0
8339798023,5,3,1,0,4,4,0,6,0,1,0,1,0,0,0,1,0,1,0,0
8340198717,6,6,3,0,8,2,0,2,0,0,0,1,0,1,1,1,0,1,0,0
8358728626,3,4,2,4,4,3,0,12,1,0,0,2,0,1,0,0,0,0,1,0
8363648483,1,1,0,1,4,3,0,7,0,3,0,2,2,0,1,0,0,1,0,0
8381439557,6,13,5,3,10,4,0,13,1,2,0,9,0,7,0,2,2,7,1,0
8395818068,7,8,0,0,4,0,0,2,0,2,0,0,0,1,0,2,1,1,0,0
8402075520,4,8,3,0,15,2,0,9,3,5,0,10,1,9,4,2,0,7,0,0
8407118156,3,3,0,1,0,1,0,3,0,2,0,5,0,2,0,3,0,3,0,0
8409166857,1,1,2,0,3,2,0,4,0,0,0,8,0,5,0,0,0,6,0,0
8416116150,7,7,0,1,3,0,0,1,0,2,0,3,1,1,0,3,0,2,0,0
8421938458,4,5,3,0,4,0,0,0,1,1,0,3,0,2,0,0,0,2,0,0
8422952040,8,5,2,1,6,3,0,2,0,1,0,1,0,0,0,1,0,1,0,0
8426028482,7,7,1,0,6,0,0,1,0,0,0,2,0,1,0,3,0,2,0,0
8426910046,2,2,2,3,6,2,0,7,0,0,0,0,0,1,0,1,0,1,0,0
8430438008,9,13,5,0,9,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0
8434327750,2,3,0,11,8,7,1,30,0,2,4,4,1,4,1,1,1,2,2,1
8438052029,6,7,4,0,3,0,0,0,1,0,0,4,0,3,0,3,0,3,0,0
8458009686,6,5,3,1,7,3,0,5,1,0,1,0,0,0,0,3,0,1,0,0
8464580176,4,9,4,1,4,0,0,3,1,2,1,2,0,1,0,0,0,1,0,0
8477667116,6,5,3,0,8,2,0,2,1,0,0,3,0,1,0,2,0,0,1,0
8483743047,6,6,0,2,4,0,0,2,0,1,0,2,0,0,0,3,0,0,1,0
8486778181,4,4,1,0,9,3,0,4,2,1,0,3,0,1,2,1,0,1,0,0
8498955175,12,9,0,1,5,2,0,1,0,2,0,5,0,1,0,5,0,2,0,0
8503001621,8,7,1,0,1,0,0,1,0,1,0,2,0,0,0,7,0,1,0,0
8516173792,2,3,1,1,2,0,0,3,1,1,0,8,0,6,0,1,0,7,0,0
8518497355,5,9,8,0,9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
8519744548,1,2,2,0,3,0,0,3,1,0,0,4,0,4,1,3,0,7,0,0
8523446836,4,5,0,0,5,0,0,3,0,1,0,2,0,0,3,1,0,1,0,0
8528425182,1,0,0,2,2,5,0,8,0,1,0,3,1,1,0,0,0,1,0,0
8532749175,4,4,2,2,2,0,0,5,1,2,0,1,0,0,1,2,0,0,0,0
8532865635,3,4,2,2,5,1,0,5,1,0,2,0,0,0,1,0,0,0,0,0
8540194140,6,7,3,2,8,1,0,6,1,2,0,5,0,3,1,2,0,5,1,0
8541020823,6,6,1,2,5,4,0,9,0,2,0,3,0,2,1,3,0,5,1,0
8553199313,3,3,0,0,1,0,0,2,0,0,0,7,0,3,0,2,0,6,0,0
8559704158,7,6,3,0,3,1,0,3,1,0,1,4,0,1,0,3,0,3,0,0
8566716750,2,2,1,0,2,0,0,1,1,3,0,9,0,3,0,0,0,4,0,0
8571178745,4,2,1,3,5,4,0,10,0,1,1,5,0,4,0,0,0,4,0,0
8571277602,10,10,2,0,4,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0
8577419167,7,5,0,0,6,2,0,6,0,1,1,1,0,0,1,2,0,0,0,0
8579995480,2,6,2,1,2,0,0,2,2,2,0,2,0,1,0,1,0,2,0,0
8589462173,2,3,2,0,4,1,0,3,0,3,0,9,0,5,1,1,0,4,0,0
8591640197,1,3,3,1,3,0,0,2,2,1,0,4,0,1,0,1,0,2,0,0
8594031927,5,4,2,0,6,1,0,4,1,2,0,2,1,1,0,0,0,1,1,0
8594768700,19,11,0,1,11,5,0,7,0,4,0,9,0,5,2,4,0,8,0,0
8614945433,7,9,5,0,8,1,0,3,2,1,0,7,0,3,0,2,0,4,0,0
8631857363,2,4,0,0,2,0,0,2,1,2,0,7,0,5,0,1,0,5,0,0
8646924638,4,6,4,1,5,0,0,4,1,1,0,2,0,3,0,1,0,3,1,0
8656465606,3,5,1,3,3,0,0,5,1,2,1,0,0,0,2,0,0,0,1,0
8657117685,5,6,3,2,15,2,0,10,0,2,0,8,1,5,2,1,0,3,1,0
8658093894,8,7,2,0,8,1,0,4,1,1,0,1,0,1,1,3,0,2,1,0
8658613117,14,10,2,2,8,4,0,9,0,2,0,6,0,3,1,6,0,5,1,0
8673112535,4,5,2,1,4,1,0,2,0,1,0,2,0,0,0,1,0,3,0,0
8679621572,2,2,1,0,1,0,0,2,0,1,0,9,0,5,0,1,0,3,0,0
8690148841,8,9,2,0,5,1,0,0,0,3,0,0,0,0,1,3,0,1,0,0
8701886603,3,4,3,1,7,3,0,3,0,0,0,5,0,2,0,1,0,1,0,0
8704008747,6,7,0,0,5,0,0,2,1,3,0,7,0,5,1,2,0,4,0,0
8706710363,4,5,0,1,4,0,0,5,1,2,0,2,0,2,1,3,0,2,0,0
8707444717,1,3,1,2,4,0,0,4,0,0,1,5,0,2,1,2,0,1,0,0
8711825956,6,4,2,2,6,2,0,5,0,2,0,2,0,1,1,2,0,2,1,0
8725181438,12,10,0,0,3,2,0,3,0,3,0,7,0,4,0,3,0,7,0,0
8735419788,4,4,0,0,2,0,0,1,0,1,0,6,0,4,0,3,0,3,0,0
8749328165,4,4,2,0,3,1,0,4,0,0,0,4,2,4,1,1,0,3,0,0
8762795047,7,3,0,2,6,2,0,5,0,0,1,3,0,1,0,1,0,1,1,0
8773072451,2,4,0,0,7,3,0,8,0,1,0,14,0,9,1,1,0,8,0,0
8773681277,1,2,0,0,2,0,0,1,0,1,0,9,0,4,0,1,0,6,0,0
8785703719,5,4,0,0,1,1,0,1,0,2,0,6,0,3,0,2,0,4,0,0
8880861151,2,5,3,2,7,1,0,5,2,1,0,4,1,3,1,3,0,4,1,0
8892141583,5,5,2,2,8,2,0,8,1,3,1,2,1,0,1,3,0,2,0,0
8895620221,8,13,4,0,13,1,0,3,3,6,0,9,1,3,0,1,0,3,0,0
8928453322,13,12,5,4,19,5,0,20,1,2,1,19,0,10,3,4,0,13,2,0
8930758620,17,18,8,8,17,5,0,14,2,6,1,1,0,0,6,5,0,1,0,0
8931805544,2,3,0,2,6,2,0,7,0,2,0,3,0,2,0,1,0,2,2,0
8936404099,6,8,3,1,7,0,0,2,0,2,0,0,0,0,2,1,0,0,0,0
9001461306,3,3,1,5,14,0,0,8,0,2,1,6,3,4,1,0,0,3,0,0
9039708348,4,3,1,1,6,1,0,2,1,1,0,1,0,0,1,1,0,1,0,0
9041357406,13,12,2,3,19,7,1,16,0,5,1,9,3,5,1,4,0,4,2,0
9045740872,9,4,2,1,6,5,0,6,0,1,1,3,1,2,0,0,0,2,0,0
9071916646,6,2,1,1,4,3,0,6,1,1,0,2,0,1,1,1,0,0,0,0
9129840002,7,7,5,1,11,3,0,8,1,1,0,12,0,5,0,2,0,8,0,0
9131016921,7,5,2,2,7,2,0,6,1,1,1,5,0,4,2,1,0,5,0,0
9143394526,0,0,1,3,2,1,0,7,0,0,1,3,0,2,2,0,0,2,0,0
9147830180,3,5,3,1,6,1,0,4,1,2,0,2,0,1,0,1,0,1,0,0
9151363180,6,4,0,1,3,0,0,3,0,3,0,4,0,0,0,1,0,1,0,0
9155481537,3,3,1,0,5,1,0,2,0,3,0,1,0,2,3,2,0,2,0,0
9159801428,7,14,6,0,6,1,0,5,2,3,0,0,1,0,2,3,0,1,0,0
9180218615,11,10,2,1,9,3,0,5,0,1,0,0,0,0,0,5,0,0,1,0
9180253641,2,2,0,2,2,1,0,7,0,0,0,3,0,1,0,2,0,3,0,0
9180440134,7,8,2,0,4,1,0,3,2,2,1,1,0,1,1,3,0,2,0,0
9197292654,4,2,1,0,8,1,0,3,1,1,0,8,0,3,0,3,0,2,1,0
9199922330,5,6,0,0,2,0,0,1,1,1,0,3,0,3,0,4,0,4,0,0
9202510605,4,4,3,1,5,1,0,4,1,1,0,0,1,0,2,2,0,0,1,0
9208100238,6,3,1,0,3,1,0,4,1,1,0,3,0,0,0,5,0,2,1,0
9218875846,1,2,0,0,1,0,0,1,0,0,0,10,0,5,0,1,0,5,0,0
9233000316,4,4,2,0,3,1,0,2,1,1,0,3,0,1,0,2,0,2,0,0
9246813397,4,8,5,0,4,0,0,0,2,2,0,1,0,1,0,1,0,2,0,0
9251141287,6,4,1,0,5,1,0,4,0,0,1,2,0,0,2,1,0,0,0,0
9294324340,5,7,5,1,8,0,0,3,1,1,0,2,1,1,0,1,0,2,0,0
9367206916,4,7,0,1,5,1,0,7,2,5,0,7,0,5,1,2,0,5,0,0
9377594048,3,2,1,4,3,2,0,9,0,1,2,5,0,3,0,2,0,4,1,0
9387596311,8,11,3,2,9,2,0,11,0,4,0,12,1,7,1,4,1,8,0,0
9416872008,6,5,0,0,6,2,0,5,0,3,0,4,0,2,1,3,0,2,0,0
9432776063,10,7,2,0,5,3,0,2,0,1,0,1,1,0,1,3,0,2,0,0
9455481094,4,2,1,2,3,3,0,7,0,1,1,1,1,0,0,1,0,1,1,0
9474356356,5,1,0,1,2,3,0,8,0,1,2,3,1,2,1,2,0,5,0,0
9530271039,7,6,1,1,5,1,0,4,0,1,1,0,1,0,0,3,0,0,1,0
9548345596,6,4,1,0,4,3,0,5,0,0,0,0,0,1,0,3,0,0,0,0
9600883539,3,3,0,0,2,1,0,0,0,0,0,7,0,4,0,2,0,6,0,0
9653602248,5,7,1,0,5,0,0,1,1,2,0,2,0,0,1,1,0,0,0,0
9684104283,3,3,0,0,4,2,0,6,0,2,0,9,0,3,0,1,0,5,1,0
9684854279,3,3,1,1,7,2,0,8,0,1,2,0,0,1,3,0,1,1,1,0
9712513013,8,8,0,0,3,1,0,2,0,3,0,12,0,8,0,1,0,10,0,0
9722452559,0,6,5,0,6,1,0,3,3,2,0,0,0,0,2,0,0,0,0,0
9722455478,10,9,2,1,5,2,0,4,0,3,0,3,2,1,0,5,0,3,0,0
9749605468,0,1,0,0,1,0,0,2,1,1,0,8,0,8,0,0,0,6,0,0
9774054902,4,5,1,0,5,2,0,4,1,2,0,1,0,0,0,3,0,0,1,0
9854143234,1,0,1,0,6,2,0,2,1,0,0,6,0,3,0,0,0,3,0,0
9897441050,2,4,0,0,2,0,0,4,0,1,0,10,0,5,0,1,0,4,0,0
9901695592,8,7,0,0,3,1,0,2,0,4,0,8,0,3,0,3,0,4,0,0
9929154683,3,3,1,2,1,0,0,6,0,2,1,1,0,0,3,2,1,0,0,0
9937823037,4,1,0,2,2,3,0,8,0,0,1,1,0,0,2,0,0,0,0,0
9956656559,3,4,0,0,8,2,0,4,1,5,0,2,0,2,5,0,0,0,0,0
9975528646,1,1,0,0,2,0,0,1,0,1,0,12,0,7,0,1,0,7,0,0
9979313516,2,5,4,2,4,1,0,5,1,2,1,0,1,0,0,0,0,0,0,0
9982043345,7,7,0,0,1,1,0,2,1,3,0,11,0,5,0,6,0,8,0,0
9987322276,4,3,0,0,2,0,0,3,0,2,1,12,0,5,0,1,0,6,0,0
10006566146,3,1,0,0,5,1,0,2,0,2,0,12,1,7,0,2,0,6,0,0
10010056891,4,7,5,1,8,1,0,3,2,3,1,7,1,4,1,1,0,4,0,0
10116606858,2,0,0,3,4,2,0,9,0,0,1,4,0,2,0,0,0,1,2,0
10140121962,7,8,0,0,5,0,0,1,0,0,0,2,0,1,0,4,0,0,0,0
10141550683,2,1,0,2,11,3,0,7,0,2,1,4,0,2,3,0,0,2,0,0
10153513814,5,5,1,1,6,1,0,7,1,1,0,2,1,3,0,4,0,3,1,0
10160320181,3,9,7,1,7,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0
10236624678,6,7,0,0,1,0,0,0,1,2,0,4,0,1,0,3,0,1,0,0
10261431814,4,8,6,3,10,0,0,5,2,2,1,0,2,0,2,0,0,0,0,0
10272732204,2,2,0,2,4,0,0,7,0,1,0,5,0,4,1,2,0,4,1,0
10274292297,4,7,4,3,5,0,0,4,3,1,2,0,0,0,0,0,0,0,0,0
10396216277,0,2,1,4,5,1,0,10,0,0,2,8,0,7,1,0,0,6,1,0
10510268224,7,6,1,0,3,1,0,1,0,2,0,4,0,2,0,1,0,3,0,0
10567103618,6,6,2,1,4,1,0,2,0,1,0,4,1,2,1,3,0,3,0,0
10602995387,8,7,1,1,2,2,0,3,0,1,0,0,0,0,0,4,0,1,0,0
10674273239,10,8,1,1,7,4,0,7,0,3,0,6,0,1,0,6,0,2,1,0
10674742869,1,2,0,3,1,1,0,8,0,0,2,2,0,1,0,1,0,0,0,0
10704443562,5,5,0,0,7,2,0,1,1,0,0,2,0,2,1,1,0,3,1,0
10732574407,5,6,2,0,4,1,0,1,1,0,0,2,0,0,0,3,0,1,0,0
10800903835,6,6,1,0,1,2,0,4,0,2,0,3,0,1,0,1,0,3,0,0
10820848947,4,3,0,1,5,1,0,4,0,2,0,4,1,0,0,1,0,0,0,0
10834549080,4,7,3,0,3,0,0,1,1,2,0,2,0,0,0,2,0,0,0,0
10836933019,9,8,2,0,1,1,0,1,0,2,0,5,0,1,1,4,0,3,0,0
10857347380,1,1,0,0,4,2,0,3,0,1,0,9,0,7,1,0,0,7,0,0
10882399919,3,4,2,2,2,1,0,8,0,0,2,1,1,3,0,0,0,2,1,0
10895349641,9,7,0,1,6,2,0,4,0,1,0,3,1,1,0,4,0,2,1,0
10904070740,6,9,3,0,4,0,0,0,1,1,0,1,0,1,0,3,0,0,0,0
10938193798,4,5,0,0,6,0,0,3,0,3,0,9,0,3,1,2,0,1,0,0
10968338660,4,8,3,6,7,2,0,12,1,2,3,4,1,3,0,1,0,3,0,0
10990423915,6,6,0,0,2,1,0,2,0,1,0,4,0,3,0,4,0,4,0,0
11047010444,0,0,0,2,6,4,0,11,0,1,0,5,0,4,1,1,0,3,0,0
11054742515,5,4,0,0,4,1,0,2,0,2,0,6,0,1,0,2,0,1,0,0
11055255926,9,7,1,1,2,1,0,2,0,1,1,0,1,0,0,4,0,0,0,0
11059155340,5,3,0,1,1,2,0,9,0,0,1,0,0,1,0,1,1,1,0,0
11066209361,2,5,3,0,3,0,0,1,2,2,0,9,0,6,0,0,0,6,0,0
11066513248,3,4,0,3,13,3,0,9,0,4,2,4,2,3,4,2,1,2,0,0
11117311619,5,4,0,0,5,0,1,0,0,1,0,6,0,2,0,1,0,3,0,0
11166615927,4,5,2,1,5,2,0,5,0,1,1,1,0,0,0,2,0,1,0,0
11177915625,9,13,6,1,7,2,0,6,0,2,0,3,0,1,0,5,0,3,1,0
11184052037,10,7,0,1,7,4,0,5,0,2,0,4,2,1,0,4,0,4,0,0
11184604792,15,9,0,1,7,4,0,4,0,1,0,1,0,0,0,2,0,4,0,0
11218243914,5,4,2,1,7,4,0,5,0,1,0,4,0,2,0,1,0,5,0,0
11326724693,6,4,1,2,4,1,0,5,0,3,0,2,0,0,0,0,0,0,1,0
11351647951,1,5,2,0,5,0,0,1,3,2,0,8,0,5,1,1,0,8,0,0
11382354297,11,6,1,1,9,3,0,6,0,0,0,1,0,1,0,3,0,2,1,0
11586365243,6,5,0,1,1,2,0,5,0,3,0,3,0,0,0,4,0,3,0,0
11591052413,7,5,1,1,5,4,0,5,0,0,1,2,0,0,0,1,0,3,1,0
11603446929,7,6,0,1,3,1,0,2,0,2,0,3,0,1,0,6,0,2,0,0
11613130436,5,3,2,1,6,4,0,7,0,2,0,4,0,2,2,1,0,2,0,0
11618116654,1,7,9,0,8,1,0,4,1,1,0,2,0,0,0,0,0,1,0,0
11625533781,5,4,1,1,7,2,0,5,0,1,0,1,2,0,0,1,0,1,1,0
11630325244,7,5,0,0,3,1,0,4,1,0,1,1,0,0,1,4,1,0,0,0
11688245134,7,6,0,0,3,1,0,2,0,2,0,10,0,7,0,4,0,7,0,0
11696221304,9,8,0,0,4,1,0,1,1,3,0,2,0,2,0,2,0,3,0,0
11779489719,5,5,2,1,6,0,0,2,0,2,0,3,2,0,0,1,0,0,0,0
11789030449,4,6,3,1,6,1,0,3,2,1,0,3,1,0,0,1,0,0,0,0
11812617946,3,4,0,0,0,0,0,2,0,2,0,6,0,3,0,3,0,5,0,0
11835611722,6,5,2,0,5,3,1,8,0,0,0,11,0,6,0,2,1,5,0,0
11862236195,5,5,0,0,3,1,0,2,0,1,0,4,0,2,0,3,0,3,1,0
12011823748,13,5,2,0,7,6,0,6,0,4,1,6,0,2,1,2,0,5,0,0
12037628169,3,2,1,1,3,1,0,6,0,1,1,2,0,1,1,0,0,1,1,0
12297060527,6,5,4,1,6,1,0,9,1,0,1,2,0,1,0,2,0,0,0,0
12383436240,5,3,0,2,3,2,0,5,0,1,0,1,0,1,1,0,1,3,0,0
12504365077,4,4,2,0,3,0,0,0,0,1,0,6,0,4,0,1,0,3,0,0
12529976722,7,7,0,0,5,1,0,4,0,3,0,6,0,3,0,2,0,1,0,0
12668285189,1,3,1,0,4,1,0,2,1,1,0,7,0,3,0,0,0,5,0,0
12818016083,5,6,4,1,6,0,0,2,2,0,0,3,0,0,0,2,0,1,0,0
12827183086,4,4,0,0,9,2,0,5,0,1,0,6,0,3,1,2,0,2,1,0
12831755645,2,4,1,0,3,0,0,3,1,3,0,4,0,2,3,2,0,2,0,0
12885447516,3,1,1,0,2,1,0,4,1,0,0,4,0,2,0,1,0,3,0,0
13010432611,5,3,2,2,10,2,1,7,0,1,0,5,2,1,1,0,0,4,1,0
13137975049,4,1,0,3,2,3,0,9,0,0,1,0,0,0,0,1,2,0,0,0
13309773069,9,7,0,1,5,2,0,6,0,0,0,2,0,0,0,3,0,2,0,0
13339910848,2,7,5,0,6,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0
13392385179,8,3,1,1,8,4,0,13,0,0,0,5,1,3,1,2,1,5,0,0
13485310737,9,12,4,1,19,3,0,13,0,6,1,13,0,9,6,5,1,13,1,0
13543964321,3,3,0,0,5,1,0,2,0,3,0,8,0,5,2,1,0,5,0,0
13776176430,9,7,2,0,3,1,0,5,1,1,1,3,0,2,1,3,0,2,0,0
13777593050,4,5,2,0,4,1,0,1,0,0,0,7,0,3,0,3,0,4,0,0
13845231910,1,2,0,0,2,0,0,2,0,2,0,11,0,5,0,1,0,5,0,0
14185168797,5,8,4,0,8,0,0,3,1,2,0,3,0,0,1,0,0,0,0,0
14281551616,2,2,0,4,2,0,0,10,0,0,2,0,0,1,1,1,0,0,1,0
14284524398,7,7,3,2,3,1,0,8,1,1,0,2,0,3,0,3,0,2,0,0
14352183051,5,4,1,4,6,4,0,13,0,0,3,1,0,1,2,0,0,0,1,0
14440995562,5,4,0,0,4,2,0,4,0,2,1,9,0,5,0,1,0,5,0,0
14476208728,7,12,4,0,5,0,0,1,2,2,0,0,0,0,0,4,0,0,0,0
14522318812,1,1,0,4,6,2,0,13,0,0,0,0,2,2,1,0,0,0,1,0
14898037809,7,9,2,0,8,0,0,1,3,3,0,1,0,0,1,1,0,0,0,0
15264373545,2,5,1,0,13,1,0,6,0,3,1,12,0,6,3,0,1,6,0,0
15394732842,6,8,2,0,4,0,0,0,1,1,0,2,0,0,0,3,0,0,0,0
15483934096,9,8,0,0,4,1,0,2,1,4,0,10,0,5,0,3,0,5,0,0
15651703819,5,10,5,0,6,0,0,3,2,2,0,1,0,0,0,2,0,0,0,0
15693537730,5,1,0,2,3,3,0,7,0,1,0,2,0,0,0,1,1,1,0,0
15850983017,2,6,2,1,8,1,0,4,1,1,0,3,0,1,2,0,0,1,0,0
16199859945,8,8,2,1,8,3,0,11,0,2,1,13,1,5,0,5,0,8,0,0
16253668278,5,6,2,1,4,1,1,3,0,4,0,8,0,2,0,2,0,3,0,0
16441406443,1,1,1,0,4,1,0,4,1,1,0,6,0,3,0,1,0,1,0,0
16613049720,4,3,1,0,2,1,0,3,0,0,1,7,0,2,0,2,0,4,0,0
16800436457,6,6,3,2,8,2,0,7,1,0,1,2,1,1,0,1,0,0,1,0
16804382292,3,6,2,0,6,1,0,3,0,2,0,9,0,5,0,1,0,6,0,0
17177454686,0,0,1,5,7,4,0,13,0,1,1,1,0,0,0,0,0,0,1,0
17573729279,6,4,0,1,1,0,0,4,0,2,0,2,0,0,0,2,0,3,0,0
17573737246,11,10,1,1,9,1,0,9,0,4,1,3,2,1,1,2,0,2,0,0
17632027014,7,5,0,1,6,2,0,6,0,0,1,2,0,2,0,2,0,1,0,0
17687638563,4,3,2,0,5,1,0,5,0,1,0,1,0,0,2,2,0,1,0,0
18045323488,4,5,2,1,3,2,0,6,0,1,0,3,0,1,0,2,0,1,0,0
18887395150,5,3,0,6,4,5,0,19,0,0,3,1,0,1,1,2,0,1,1,0
22026438960,2,2,0,3,3,1,0,7,0,0,1,1,0,0,0,1,0,0,1,0
24337372261,3,2,0,2,4,4,0,9,0,3,0,3,0,0,0,0,0,1,1,0
